case,x_m,Nu,Nu_reference,Cf,Cf_reference,q_wall_W_m2
fine,0.1875,-3.1152567830264627e-10,nan,0.00972683266728942,0.008437080821360668,-4.269978630601605e-09
fine,0.20138888888888887,-6.424958186794641e-08,nan,0.009337375845569925,0.008140950095418296,-8.199132847479178e-07
fine,0.21527777777777776,-1.3537560278143327e-05,nan,0.008990622241249161,0.007873960730658762,-0.00016161226799146075
fine,0.22916666666666666,-0.003173300890607595,nan,0.008679546725783562,0.007631626748279151,-0.03558712707866845
fine,0.24305555555555555,-1.052094415001781,nan,0.008398605826273726,0.0074103730101346904,-11.124545745824548
fine,0.2569444444444444,115.68892224346908,100.1207528327095,0.00814335965034684,0.0072073104501640855,1157.1393606449471
fine,0.27083333333333337,79.64339880708579,72.37663630022774,0.007910206755654644,0.007020075580765318,755.7545905263156
fine,0.2847222222222222,68.92027459353712,63.5142153378304,0.007696193584953798,0.006846713623670285,622.0979322335663
fine,0.29861111111111105,63.53424104635224,58.96245439471773,0.007498874533208113,0.006685591910318585,546.8081843356755
fine,0.3125,60.30730094053948,56.2176663116456,0.0073162072662100435,0.006535334702347171,495.96724293499676
fine,0.32638888888888884,58.200912089950855,54.428926346576695,0.0071464731339529325,0.0063947734397121325,458.2764584308302
fine,0.3402777777777778,56.76064492828339,53.21536688861195,0.0069882158038426295,0.006262908278640698,428.6934586746759
fine,0.35416666666666663,55.752062420663435,52.377493193820534,0.006840193354940903,0.0061388780114723,404.5632011890025
fine,0.3680555555555556,55.0404780926112,51.79945435092379,0.006701340471908931,0.006021936291790996,384.3279270285576
fine,0.3819444444444444,54.54238619283704,51.40885377759749,0.006570738320770707,0.005911432660111243,367.0008414953661
fine,0.39583333333333326,54.20298111085598,51.15789453794212,0.006447590338571015,0.005806797265073099,351.9199868334314
fine,0.4097222222222222,53.98466939108932,51.01364227825237,0.006331202625134526,0.0057075284585831314,338.621126241599
fine,0.42361111111111105,53.860738364550144,50.95261351468762,0.006220967950695603,0.005613182647121415,326.7669189172577
fine,0.4375,53.811651996219844,50.95758778111953,0.006116352629133959,0.005523365929763636,316.1050185835086
fine,0.45138888888888884,53.82277615696804,51.01563888138853,0.006016885679979611,0.005437727162684288,306.4420461564729
fine,0.4652777777777778,53.88292446521876,51.11687040289475,0.005922149831435117,0.005355952171192267,297.6267565087785
fine,0.47916666666666663,53.983396692785256,51.253576242844176,0.005831774013849664,0.005277758891454608,289.53877460965174
fine,0.4930555555555556,54.11732423163311,51.41966729691446,0.005745427067014777,0.005202893270428854,282.08083593863074
fine,0.5069444444444444,54.27921328896532,51.61027021426241,0.005662812441431849,0.005131125788013754,275.17330484904505
fine,0.5208333333333333,54.46461904063269,51.8214405015151,0.005583663717684641,0.005062248492816401,268.750216194098
fine,0.5347222222222222,54.66990868548058,52.0499534803701,0.00550774080238873,0.004996072464234129,262.75636112107344
fine,0.5486111111111112,54.89208617946267,52.29314939755891,0.0054348266861936265,0.004932425630235656,257.1451044720955
fine,0.5625,55.12866060167676,52.54881692602782,0.005364724670689734,0.00487115088338721,251.8767248823276
fine,0.5763888888888888,55.377545926889745,52.815104352404,0.0052972559880985455,0.004812104448118112,246.91713489907664
fine,0.5902777777777777,55.63698376145006,53.09045104061595,0.00523225775126332,0.004755154460566225,242.23688176985232
fine,0.6041666666666666,55.90548310981621,53.373533953516414,0.00516958118244089,0.004700179729049062,237.81035849748028
fine,0.6180555555555556,56.181772935907624,53.66322550026285,0.005109090078284814,0.004647068648623395,233.61517447326622
fine,0.6319444444444444,56.46476445159622,53.9585600018133,0.005050659475639244,0.004595718247595451,229.631648662052
fine,0.6458333333333333,56.75352088104812,54.258706784503445,0.0049941744886684665,0.004546033347434379,225.84239793180961
